# Chunk-averaged data for fix avegroupC and group groupC
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
2000000 1748 512000.00000000035
  1 0.01 0.146165 0.00598534
  2 0.03 0.144294 0.00590869
  3 0.05 0.144982 0.00593688
  4 0.07 0.146155 0.00598491
  5 0.09 0.147629 0.00604525
  6 0.11 0.146571 0.00600197
  7 0.13 0.145846 0.00597226
  8 0.15 0.145376 0.00595299
  9 0.17 0.146097 0.00598254
  10 0.19 0.145889 0.00597402
  11 0.21 0.146428 0.00599609
  12 0.23 0.147845 0.00605412
  13 0.25 0.145735 0.00596771
  14 0.27 0.145114 0.00594229
  15 0.29 0.145659 0.0059646
  16 0.31 0.145187 0.00594525
  17 0.33 0.143655 0.00588256
  18 0.35 0.142274 0.00582599
  19 0.37 0.143675 0.00588334
  20 0.39 0.144125 0.00590179
  21 0.41 0.143557 0.00587851
  22 0.43 0.143141 0.00586149
  23 0.45 0.144417 0.00591372
  24 0.47 0.145464 0.0059566
  25 0.49 0.147181 0.00602693
  26 0.51 0.1477 0.00604816
  27 0.53 0.14554 0.00595975
  28 0.55 0.146134 0.00598405
  29 0.57 0.146244 0.00598854
  30 0.59 0.145408 0.00595432
  31 0.61 0.147513 0.00604054
  32 0.63 0.14751 0.0060404
  33 0.65 0.148269 0.00607148
  34 0.67 0.145829 0.00597154
  35 0.69 0.146094 0.00598239
  36 0.71 0.147953 0.00605854
  37 0.73 0.146287 0.00599032
  38 0.75 0.147247 0.00602963
  39 0.77 0.148247 0.00607058
  40 0.79 0.147108 0.00602396
  41 0.81 0.146876 0.00601442
  42 0.83 0.146234 0.00598815
  43 0.85 0.145999 0.00597853
  44 0.87 0.146926 0.00601646
  45 0.89 0.146603 0.00600328
  46 0.91 0.146124 0.00598366
  47 0.93 0.146103 0.00598276
  48 0.95 0.145823 0.0059713
  49 0.97 0.147025 0.00602054
  50 0.99 0.145865 0.00597302
  51 1.01 0.145017 0.00593829
  52 1.03 0.143736 0.00588588
  53 1.05 0.145192 0.0059455
  54 1.07 0.147499 0.00603995
  55 1.09 0.14639 0.00599452
  56 1.11 0.14627 0.0059896
  57 1.13 0.147196 0.00602752
  58 1.15 0.146294 0.00599058
  59 1.17 0.146582 0.0060024
  60 1.19 0.146101 0.0059827
  61 1.21 0.145729 0.00596747
  62 1.23 0.145751 0.00596835
  63 1.25 0.145196 0.00594564
  64 1.27 0.145345 0.00595172
  65 1.29 0.146212 0.00598727
  66 1.31 0.145211 0.00594626
  67 1.33 0.145079 0.00594083
  68 1.35 0.143421 0.00587294
  69 1.37 0.143686 0.00588381
  70 1.39 0.145891 0.00597408
  71 1.41 0.143858 0.00589085
  72 1.43 0.144992 0.00593729
  73 1.45 0.146997 0.00601937
  74 1.47 0.144999 0.00593758
  75 1.49 0.146407 0.00599523
  76 1.51 0.146261 0.00598925
  77 1.53 0.147133 0.00602498
  78 1.55 0.149155 0.00610774
  79 1.57 0.148269 0.00607148
  80 1.59 0.147204 0.00602787
  81 1.61 0.146725 0.00600825
  82 1.63 0.147344 0.0060336
  83 1.65 0.146357 0.00599316
  84 1.67 0.14679 0.0060109
  85 1.69 0.146958 0.00601777
  86 1.71 0.147029 0.0060207
  87 1.73 0.148759 0.00609152
  88 1.75 0.14785 0.00605432
  89 1.77 0.146577 0.00600221
  90 1.79 0.146412 0.00599546
  91 1.81 0.147654 0.00604632
  92 1.83 0.147043 0.0060213
  93 1.85 0.146365 0.00599353
  94 1.87 0.147985 0.00605983
  95 1.89 0.147478 0.00603907
  96 1.91 0.146929 0.00601663
  97 1.93 0.147058 0.00602191
  98 1.95 0.145655 0.00596446
  99 1.97 0.145776 0.00596939
  100 1.99 0.146647 0.00600506
  101 2.01 0.149463 0.00612037
  102 2.03 0.149585 0.00612537
  103 2.05 0.149538 0.00612346
  104 2.07 0.148966 0.0061
  105 2.09 0.149473 0.00612078
  106 2.11 0.149474 0.00612082
  107 2.13 0.150686 0.00617047
  108 2.15 0.149027 0.00610252
  109 2.17 0.150131 0.00614771
  110 2.19 0.149821 0.00613503
  111 2.21 0.150188 0.00615006
  112 2.23 0.151114 0.00618798
  113 2.25 0.152714 0.00625352
  114 2.27 0.152659 0.00625125
  115 2.29 0.152303 0.00623665
  116 2.31 0.150968 0.00618202
  117 2.33 0.149281 0.0061129
  118 2.35 0.14978 0.00613335
  119 2.37 0.150444 0.00616054
  120 2.39 0.149383 0.00611712
  121 2.41 0.149769 0.00613292
  122 2.43 0.148988 0.00610094
  123 2.45 0.149559 0.0061243
  124 2.47 0.148103 0.00606468
  125 2.49 0.147813 0.00605279
  126 2.51 0.14675 0.00600928
  127 2.53 0.145983 0.00597785
  128 2.55 0.14727 0.00603057
  129 2.57 0.147832 0.00605358
  130 2.59 0.14833 0.00607398
  131 2.61 0.14891 0.00609773
  132 2.63 0.148273 0.00607164
  133 2.65 0.14821 0.00606906
  134 2.67 0.149345 0.00611554
  135 2.69 0.148564 0.00608356
  136 2.71 0.146799 0.00601128
  137 2.73 0.147594 0.00604382
  138 2.75 0.145603 0.00596229
  139 2.77 0.14419 0.00590445
  140 2.79 0.145224 0.00594679
  141 2.81 0.146781 0.00601057
  142 2.83 0.146341 0.00599251
  143 2.85 0.145041 0.00593928
  144 2.87 0.144095 0.00590054
  145 2.89 0.14573 0.00596749
  146 2.91 0.146368 0.00599361
  147 2.93 0.146407 0.00599521
  148 2.95 0.14861 0.00608546
  149 2.97 0.148636 0.00608653
  150 2.99 0.14781 0.00605268
  151 3.01 0.148307 0.00607304
  152 3.03 0.147234 0.00602908
