# Chunk-averaged data for fix avegroupN and group groupN
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
2000000 1748 0
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0 0
  9 0.17 0 0
  10 0.19 0 0
  11 0.21 0 0
  12 0.23 0 0
  13 0.25 0 0
  14 0.27 0 0
  15 0.29 0 0
  16 0.31 0 0
  17 0.33 0 0
  18 0.35 0 0
  19 0.37 0 0
  20 0.39 0 0
  21 0.41 0 0
  22 0.43 0 0
  23 0.45 0 0
  24 0.47 0 0
  25 0.49 0 0
  26 0.51 0 0
  27 0.53 0 0
  28 0.55 0 0
  29 0.57 0 0
  30 0.59 0 0
  31 0.61 0 0
  32 0.63 0 0
  33 0.65 0 0
  34 0.67 0 0
  35 0.69 0 0
  36 0.71 0 0
  37 0.73 0 0
  38 0.75 0 0
  39 0.77 0 0
  40 0.79 0 0
  41 0.81 0 0
  42 0.83 0 0
  43 0.85 0 0
  44 0.87 0 0
  45 0.89 0 0
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
  51 1.01 0 0
  52 1.03 0 0
  53 1.05 0 0
  54 1.07 0 0
  55 1.09 0 0
  56 1.11 0 0
  57 1.13 0 0
  58 1.15 0 0
  59 1.17 0 0
  60 1.19 0 0
  61 1.21 0 0
  62 1.23 0 0
  63 1.25 0 0
  64 1.27 0 0
  65 1.29 0 0
  66 1.31 0 0
  67 1.33 0 0
  68 1.35 0 0
  69 1.37 0 0
  70 1.39 0 0
  71 1.41 0 0
  72 1.43 0 0
  73 1.45 0 0
  74 1.47 0 0
  75 1.49 0 0
  76 1.51 0 0
  77 1.53 0 0
  78 1.55 0 0
  79 1.57 0 0
  80 1.59 0 0
  81 1.61 0 0
  82 1.63 0 0
  83 1.65 0 0
  84 1.67 0 0
  85 1.69 0 0
  86 1.71 0 0
  87 1.73 0 0
  88 1.75 0 0
  89 1.77 0 0
  90 1.79 0 0
  91 1.81 0 0
  92 1.83 0 0
  93 1.85 0 0
  94 1.87 0 0
  95 1.89 0 0
  96 1.91 0 0
  97 1.93 0 0
  98 1.95 0 0
  99 1.97 0 0
  100 1.99 0 0
  101 2.01 0 0
  102 2.03 0 0
  103 2.05 0 0
  104 2.07 0 0
  105 2.09 0 0
  106 2.11 0 0
  107 2.13 0 0
  108 2.15 0 0
  109 2.17 0 0
  110 2.19 0 0
  111 2.21 0 0
  112 2.23 0 0
  113 2.25 0 0
  114 2.27 0 0
  115 2.29 0 0
  116 2.31 0 0
  117 2.33 0 0
  118 2.35 0 0
  119 2.37 0 0
  120 2.39 0 0
  121 2.41 0 0
  122 2.43 0 0
  123 2.45 0 0
  124 2.47 0 0
  125 2.49 0 0
  126 2.51 0 0
  127 2.53 0 0
  128 2.55 0 0
  129 2.57 0 0
  130 2.59 0 0
  131 2.61 0 0
  132 2.63 0 0
  133 2.65 0 0
  134 2.67 0 0
  135 2.69 0 0
  136 2.71 0 0
  137 2.73 0 0
  138 2.75 0 0
  139 2.77 0 0
  140 2.79 0 0
  141 2.81 0 0
  142 2.83 0 0
  143 2.85 0 0
  144 2.87 0 0
  145 2.89 0 0
  146 2.91 0 0
  147 2.93 0 0
  148 2.95 0 0
  149 2.97 0 0
  150 2.99 0 0
  151 3.01 0 0
  152 3.03 0 0
  153 3.05 0 0
  154 3.07 0 0
  155 3.09 0 0
  156 3.11 0 0
  157 3.13 0 0
  158 3.15 0 0
  159 3.17 0 0
  160 3.19 0 0
  161 3.21 0 0
  162 3.23 0 0
  163 3.25 0 0
  164 3.27 0 0
  165 3.29 0 0
  166 3.31 0 0
  167 3.33 0 0
  168 3.35 0 0
  169 3.37 0 0
  170 3.39 0 0
  171 3.41 0 0
  172 3.43 0 0
  173 3.45 0 0
  174 3.47 0 0
  175 3.49 0 0
  176 3.51 0 0
  177 3.53 0 0
