# Chunk-averaged data for fix avegroupO and group groupO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
2000000 1748 1024000.0000000013
  1 0.01 0.29331 0.0120108
  2 0.03 0.290438 0.0118932
  3 0.05 0.288754 0.0118242
  4 0.07 0.290288 0.011887
  5 0.09 0.290492 0.0118954
  6 0.11 0.292186 0.0119647
  7 0.13 0.292186 0.0119647
  8 0.15 0.292774 0.0119888
  9 0.17 0.292822 0.0119908
  10 0.19 0.290593 0.0118995
  11 0.21 0.290619 0.0119006
  12 0.23 0.290636 0.0119013
  13 0.25 0.290685 0.0119033
  14 0.27 0.292681 0.011985
  15 0.29 0.291837 0.0119505
  16 0.31 0.292703 0.0119859
  17 0.33 0.293882 0.0120342
  18 0.35 0.293335 0.0120118
  19 0.37 0.291312 0.011929
  20 0.39 0.290468 0.0118944
  21 0.41 0.292126 0.0119623
  22 0.43 0.291714 0.0119454
  23 0.45 0.290621 0.0119007
  24 0.47 0.291044 0.011918
  25 0.49 0.292952 0.0119961
  26 0.51 0.292578 0.0119808
  27 0.53 0.293163 0.0120047
  28 0.55 0.292686 0.0119852
  29 0.57 0.290755 0.0119062
  30 0.59 0.289953 0.0118733
  31 0.61 0.291072 0.0119191
  32 0.63 0.292751 0.0119879
  33 0.65 0.292594 0.0119814
  34 0.67 0.292444 0.0119753
  35 0.69 0.292626 0.0119828
  36 0.71 0.291099 0.0119202
  37 0.73 0.292265 0.011968
  38 0.75 0.292267 0.0119681
  39 0.77 0.290426 0.0118927
  40 0.79 0.290068 0.011878
  41 0.81 0.290761 0.0119064
  42 0.83 0.290398 0.0118915
  43 0.85 0.290037 0.0118768
  44 0.87 0.292345 0.0119712
  45 0.89 0.293664 0.0120253
  46 0.91 0.293547 0.0120205
  47 0.93 0.291845 0.0119508
  48 0.95 0.291357 0.0119308
  49 0.97 0.292621 0.0119825
  50 0.99 0.292129 0.0119624
  51 1.01 0.293547 0.0120205
  52 1.03 0.295393 0.0120961
  53 1.05 0.294232 0.0120486
  54 1.07 0.295128 0.0120852
  55 1.09 0.293413 0.012015
  56 1.11 0.293125 0.0120032
  57 1.13 0.291992 0.0119568
  58 1.15 0.292408 0.0119738
  59 1.17 0.291446 0.0119344
  60 1.19 0.292524 0.0119786
  61 1.21 0.293636 0.0120241
  62 1.23 0.29411 0.0120435
  63 1.25 0.295475 0.0120995
  64 1.27 0.294737 0.0120692
  65 1.29 0.293523 0.0120195
  66 1.31 0.292853 0.0119921
  67 1.33 0.292997 0.011998
  68 1.35 0.293283 0.0120097
  69 1.37 0.293837 0.0120324
  70 1.39 0.294396 0.0120553
  71 1.41 0.294847 0.0120737
  72 1.43 0.293717 0.0120274
  73 1.45 0.294454 0.0120576
  74 1.47 0.293333 0.0120117
  75 1.49 0.295477 0.0120995
  76 1.51 0.294275 0.0120503
  77 1.53 0.295033 0.0120813
  78 1.55 0.293266 0.012009
  79 1.57 0.294962 0.0120784
  80 1.59 0.29661 0.0121459
  81 1.61 0.295268 0.0120909
  82 1.63 0.295464 0.012099
  83 1.65 0.29559 0.0121041
  84 1.67 0.296746 0.0121515
  85 1.69 0.296272 0.012132
  86 1.71 0.296019 0.0121217
  87 1.73 0.293448 0.0120164
  88 1.75 0.294956 0.0120782
  89 1.77 0.294929 0.0120771
  90 1.79 0.294799 0.0120717
  91 1.81 0.293757 0.0120291
  92 1.83 0.292613 0.0119823
  93 1.85 0.294663 0.0120662
  94 1.87 0.293857 0.0120332
  95 1.89 0.294676 0.0120667
  96 1.91 0.29555 0.0121025
  97 1.93 0.296723 0.0121505
  98 1.95 0.296997 0.0121618
  99 1.97 0.294959 0.0120783
  100 1.99 0.293954 0.0120371
  101 2.01 0.294218 0.012048
  102 2.03 0.295865 0.0121154
  103 2.05 0.297139 0.0121676
  104 2.07 0.295385 0.0120957
  105 2.09 0.296533 0.0121427
  106 2.11 0.297234 0.0121715
  107 2.13 0.294677 0.0120668
  108 2.15 0.295864 0.0121154
  109 2.17 0.294781 0.012071
  110 2.19 0.294938 0.0120774
  111 2.21 0.295978 0.01212
  112 2.23 0.294022 0.0120399
  113 2.25 0.295449 0.0120984
  114 2.27 0.294475 0.0120585
  115 2.29 0.298304 0.0122153
  116 2.31 0.29839 0.0122188
  117 2.33 0.297051 0.0121639
  118 2.35 0.295785 0.0121121
  119 2.37 0.296875 0.0121568
  120 2.39 0.298882 0.0122389
  121 2.41 0.296898 0.0121577
  122 2.43 0.298547 0.0122252
  123 2.45 0.293385 0.0120138
  124 2.47 0.294422 0.0120563
  125 2.49 0.292355 0.0119717
  126 2.51 0.293565 0.0120212
  127 2.53 0.293235 0.0120077
  128 2.55 0.294582 0.0120629
  129 2.57 0.293906 0.0120352
  130 2.59 0.294151 0.0120452
  131 2.61 0.293713 0.0120273
  132 2.63 0.293129 0.0120034
  133 2.65 0.291427 0.0119337
  134 2.67 0.292884 0.0119933
  135 2.69 0.293266 0.012009
  136 2.71 0.294593 0.0120633
  137 2.73 0.294839 0.0120734
  138 2.75 0.295628 0.0121057
  139 2.77 0.297499 0.0121823
  140 2.79 0.295015 0.0120806
  141 2.81 0.295772 0.0121116
  142 2.83 0.297154 0.0121682
  143 2.85 0.295175 0.0120871
  144 2.87 0.296682 0.0121488
  145 2.89 0.295913 0.0121173
  146 2.91 0.295813 0.0121133
  147 2.93 0.294769 0.0120705
  148 2.95 0.293809 0.0120312
  149 2.97 0.294244 0.012049
  150 2.99 0.294006 0.0120393
  151 3.01 0.29404 0.0120407
  152 3.03 0.294437 0.0120569
  153 3.05 0.296531 0.0121427
  154 3.07 0.295123 0.012085
  155 3.09 0.295874 0.0121158
  156 3.11 0.295069 0.0120828
  157 3.13 0.295337 0.0120938
  158 3.15 0.294667 0.0120664
  159 3.17 0.295789 0.0121123
  160 3.19 0.294337 0.0120528
  161 3.21 0.293286 0.0120098
  162 3.23 0.290981 0.0119154
  163 3.25 0.291927 0.0119542
  164 3.27 0.29415 0.0120452
  165 3.29 0.29374 0.0120284
  166 3.31 0.293208 0.0120066
  167 3.33 0.294124 0.0120441
  168 3.35 0.294299 0.0120513
  169 3.37 0.294755 0.0120699
  170 3.39 0.296043 0.0121227
  171 3.41 0.293858 0.0120332
  172 3.43 0.295105 0.0120843
  173 3.45 0.294773 0.0120707
  174 3.47 0.296363 0.0121358
  175 3.49 0.293822 0.0120317
  176 3.51 0.294791 0.0120714
  177 3.53 0.295844 0.0121146
  178 3.55 0.296976 0.0121609
  179 3.57 0.296645 0.0121473
