# Time-averaged data for fix aveRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7]
2000000 100
1 0.075 0 0 0 0 0 0
2 0.225 0 0 0 0 0 0
3 0.375 0 0 0 0 0 0
4 0.525 0 0 0 0 0 0
5 0.675 0 0 0 0 0 0
6 0.825 0 0 0 0 0 0
7 0.975 0 0 0 0 0 0
8 1.125 0 0 0 0 0 0
9 1.275 0 0 0 0 0 0
10 1.425 0 0 0 0 0 0
11 1.575 0 0 0 0 0 0
12 1.725 0 0 0 0 0 0
13 1.875 0 0 0 0 0 0
14 2.025 0 0 0 0 0 0
15 2.175 0 0 0 0 0 0
16 2.325 0 0 1.5968e-06 1.95313e-07 0 0
17 2.475 5.6588e-06 3.90625e-07 0.00185165 0.000256836 0.000436287 6.03516e-05
18 2.625 0.000860254 6.71875e-05 0.0480412 0.00774668 0.0330738 0.00520664
19 2.775 0.00912043 0.000858594 0.24692 0.0507666 0.281373 0.0541336
20 2.925 0.0452802 0.00522383 0.539532 0.155202 0.771711 0.203219
21 3.075 0.144094 0.0205762 0.775396 0.321077 1.18802 0.456869
22 3.225 0.32638 0.0588246 0.915838 0.536573 1.37907 0.780728
23 3.375 0.574237 0.132524 1.0033 0.795116 1.40732 1.14268
24 3.525 0.87476 0.254993 1.07456 1.09718 1.35409 1.52257
25 3.675 1.19475 0.436798 1.15095 1.44883 1.28042 1.91302
26 3.825 1.51018 0.685741 1.24802 1.8619 1.21226 2.31347
27 3.975 1.73364 0.99437 1.33987 2.34083 1.1569 2.72619
28 4.125 1.81155 1.34167 1.39291 2.877 1.11629 3.15504
29 4.275 1.77091 1.70631 1.39612 3.45419 1.09213 3.60567
30 4.425 1.67015 2.07476 1.36275 4.05781 1.08285 4.08438
31 4.575 1.55408 2.44123 1.31966 4.68265 1.08615 4.59765
32 4.725 1.44563 2.80486 1.27839 5.32828 1.10198 5.1531
33 4.875 1.35091 3.16657 1.24584 5.99805 1.12857 5.75864
34 5.025 1.26356 3.52603 1.22212 6.69613 1.15909 6.41942
35 5.175 1.19239 3.88579 1.195 7.42007 1.18402 7.13531
36 5.325 1.13191 4.2474 1.163 8.16605 1.18825 7.896
37 5.475 1.08543 4.61396 1.13067 8.93272 1.17589 8.69178
38 5.625 1.05098 4.98861 1.10081 9.72062 1.15367 9.51589
39 5.775 1.02293 5.37296 1.07664 10.5328 1.13044 10.367
40 5.925 1.00425 5.77015 1.05938 11.3741 1.11192 11.2483
41 6.075 0.994501 6.18364 1.04693 12.2481 1.0954 12.161
42 6.225 0.988592 6.61523 1.03834 13.1583 1.08247 13.108
43 6.375 0.989837 7.06844 1.03387 14.1087 1.07258 14.0921
44 6.525 0.995199 7.54579 1.03367 15.1042 1.06303 15.1139
45 6.675 1.0024 8.04896 1.03474 16.1471 1.05537 16.1755
46 6.825 1.01357 8.58086 1.03762 17.2404 1.04986 17.2795
47 6.975 1.02503 9.14268 1.0393 18.3842 1.04566 18.428
48 7.125 1.03717 9.73586 1.04281 19.5817 1.04225 19.6225
49 7.275 1.0482 10.3609 1.04513 20.8329 1.04039 20.8656
50 7.425 1.05948 11.0189 1.04794 22.1397 1.04074 22.161
51 7.575 1.06706 11.7087 1.04922 23.5016 1.0415 23.5102
52 7.725 1.07191 12.4293 1.04952 24.9183 1.04399 24.9167
53 7.875 1.07308 13.1791 1.05089 26.3925 1.04499 26.3797
54 8.025 1.07578 13.9596 1.05041 27.9227 1.04652 27.9013
55 8.175 1.07108 14.766 1.04996 29.5099 1.0478 29.4821
56 8.325 1.06853 15.6003 1.04905 31.1545 1.04775 31.1215
57 8.475 1.06403 16.4613 1.04789 32.857 1.04712 32.8194
58 8.625 1.057 17.3471 1.04545 34.6162 1.04507 34.5745
59 8.775 1.05205 18.2597 1.04233 36.4317 1.04314 36.3879
60 8.925 1.04558 19.198 1.0392 38.3042 1.04049 38.259
61 9.075 1.03963 20.1626 1.03585 40.2338 1.03729 40.1876
62 9.225 1.03462 21.1545 1.03321 42.2227 1.03465 42.1754
63 9.375 1.03045 22.1748 1.02971 44.2699 1.0321 44.2232
64 9.525 1.02664 23.2242 1.02738 46.3783 1.02924 46.3313
65 9.675 1.02282 24.3028 1.02358 48.5455 1.02702 48.5016
66 9.825 1.02053 25.4126 1.02189 50.7768 1.02471 50.7347
67 9.975 1.01962 26.5555 1.01988 53.0723 1.02225 53.031
68 10.125 1.01808 27.7313 1.01769 55.4322 1.02117 55.3944
69 10.275 1.01659 28.9404 1.01625 57.8591 1.01995 57.8254
70 10.425 1.01626 30.1847 1.01493 60.3542 1.01804 60.3231
71 10.575 1.01666 31.4656 1.01385 62.9188 1.01695 62.8906
72 10.725 1.01565 32.7817 1.01297 65.5544 1.0156 65.5279
73 10.875 1.01598 34.1353 1.01267 68.2634 1.0152 68.2384
74 11.025 1.01601 35.5266 1.01184 71.0454 1.01479 71.0231
75 11.175 1.01541 36.9552 1.01121 73.9019 1.01408 73.882
76 11.325 1.01572 38.4228 1.0107 76.834 1.01323 76.8158
77 11.475 1.01409 39.9271 1.01052 79.8439 1.01209 79.8244
78 11.625 1.01449 41.4716 1.00967 82.9303 1.01195 82.9117
79 11.775 1.01493 43.0569 1.0098 86.0973 1.01119 86.0769
80 11.925 1.01365 44.6808 1.00821 89.3403 1.00989 89.319
81 12.075 1.01252 46.344 1.00778 92.6641 1.00945 92.6417
82 12.225 1.01199 48.0479 1.00689 96.0679 1.00869 96.045
83 12.375 1.01129 49.7926 1.00587 99.5523 1.00807 99.5301
84 12.525 1.01016 51.5779 1.00573 103.121 1.00706 103.097
85 12.675 1.00866 53.4034 1.0045 106.771 1.00645 106.747
86 12.825 1.00839 55.272 1.00389 110.506 1.00583 110.482
87 12.975 1.00627 57.1804 1.00354 114.328 1.00507 114.302
88 13.125 1.00607 59.1329 1.00267 118.235 1.00412 118.207
89 13.275 1.00543 61.129 1.00187 122.229 1.00384 122.2
90 13.425 1.00483 63.1692 1.00142 126.311 1.0029 126.281
91 13.575 1.00399 65.2535 1.00018 130.48 1.00216 130.45
92 13.725 1.00272 67.3815 0.999861 134.741 1.00185 134.711
93 13.875 1.00228 69.5553 0.99901 139.091 1.00111 139.062
94 14.025 1.00269 71.7772 0.998299 143.533 1.00062 143.505
95 14.175 1.00198 74.0453 0.997985 148.069 1.00039 148.043
96 14.325 1.00142 76.3603 0.996962 152.696 0.99955 152.674
97 14.475 1.00025 78.7213 0.996936 157.421 0.999365 157.401
98 14.625 0.999682 81.1302 0.996087 162.24 0.998187 162.221
99 14.775 0.999569 83.5884 0.995789 167.157 0.998008 167.139
100 14.925 0.999669 86.0971 0.995726 172.174 0.997195 172.154
